Entry	Entry Name	Gene Names	Organism
A2AJ15	MA1B1_MOUSE	Man1b1	Mus musculus (Mouse)
A2ANU3	SYNG1_MOUSE	Syndig1 Tmem90b	Mus musculus (Mouse)
A2ASQ1	AGRIN_MOUSE	Agrn Agrin	Mus musculus (Mouse)
B2RQR8	ECE2_MOUSE	Ece2	Mus musculus (Mouse)
D6MZJ6	NSMA5_MOUSE	Smpd5 Gm10345	Mus musculus (Mouse)
E9Q9K5	TRDN_MOUSE	Trdn	Mus musculus (Mouse)
F6VAN0	ATF6A_MOUSE	Atf6	Mus musculus (Mouse)
O08832	GALT4_MOUSE	Galnt4	Mus musculus (Mouse)
O08912	GALT1_MOUSE	Galnt1	Mus musculus (Mouse)
O09008	MFNG_MOUSE	Mfng	Mus musculus (Mouse)
O09009	RFNG_MOUSE	Rfng	Mus musculus (Mouse)
O09010	LFNG_MOUSE	Lfng	Mus musculus (Mouse)
O09160	FUT1_MOUSE	Fut1	Mus musculus (Mouse)
O35235	TNF11_MOUSE	Tnfsf11 Opgl Rankl Trance	Mus musculus (Mouse)
O35405	PLD3_MOUSE	Pld3 Sam9	Mus musculus (Mouse)
O35409	FOLH1_MOUSE	Folh1 Mopsm Naalad1	Mus musculus (Mouse)
O35426	XBP1_MOUSE	Xbp1 Treb5	Mus musculus (Mouse)
O35449	PRRT1_MOUSE	Prrt1 Ng5	Mus musculus (Mouse)
O35451	ATF6B_MOUSE	Atf6b Crebl1	Mus musculus (Mouse)
O35453	HEPS_MOUSE	Hpn	Mus musculus (Mouse)
O35696	SIA8B_MOUSE	St8sia2 Siat8b Stx	Mus musculus (Mouse)
O54693	EDA_MOUSE	Eda Ed1 Ta	Mus musculus (Mouse)
O54709	NKG2D_MOUSE	Klrk1 Nkg2d	Mus musculus (Mouse)
O54904	B3GT1_MOUSE	B3galt1	Mus musculus (Mouse)
O54905	B3GT2_MOUSE	B3galt2	Mus musculus (Mouse)
O54907	TNF12_MOUSE	Tnfsf12	Mus musculus (Mouse)
O55237	CD70_MOUSE	Cd70 Cd27l Cd27lg Tnfsf7	Mus musculus (Mouse)
O70281	TPST1_MOUSE	Tpst1	Mus musculus (Mouse)
O70423	AOC3_MOUSE	Aoc3 Vap1	Mus musculus (Mouse)
O88199	CHST3_MOUSE	Chst3 C6st Gst0	Mus musculus (Mouse)
O88587	COMT_MOUSE	Comt Comt1	Mus musculus (Mouse)
O88676	MMP23_MOUSE	Mmp23 Cammp	Mus musculus (Mouse)
O88713	KLRG1_MOUSE	Klrg1 Mafa	Mus musculus (Mouse)
O88819	FUT9_MOUSE	Fut9	Mus musculus (Mouse)
O88829	SIAT9_MOUSE	St3gal5 GM3S Siat9	Mus musculus (Mouse)
O88856	TPST2_MOUSE	Tpst2 D5ucla3	Mus musculus (Mouse)
O89051	ITM2B_MOUSE	Itm2b	Mus musculus (Mouse)
P04441	HG2A_MOUSE	Cd74 Ii	Mus musculus (Mouse)
P06802	ENPP1_MOUSE	Enpp1 Npps Pc1 Pdnp1	Mus musculus (Mouse)
P06804	TNFA_MOUSE	Tnf Tnfa Tnfsf2	Mus musculus (Mouse)
P0DPD9	EFCE2_MOUSE	Eef1akmt4-Ece2	Mus musculus (Mouse)
P10852	4F2_MOUSE	Slc3a2 Mdu1	Mus musculus (Mouse)
P14094	AT1B1_MOUSE	Atp1b1 Atp4b	Mus musculus (Mouse)
P14231	AT1B2_MOUSE	Atp1b2	Mus musculus (Mouse)
P15535	B4GT1_MOUSE	B4galt1 Ggtb Ggtb2	Mus musculus (Mouse)
P16406	AMPE_MOUSE	Enpep	Mus musculus (Mouse)
P20693	FCER2_MOUSE	Fcer2 Fcer2a	Mus musculus (Mouse)
P20937	KLRA1_MOUSE	Klra1 Ly-49 Ly-49a Ly49 Ly49A	Mus musculus (Mouse)
P21855	CD72_MOUSE	Cd72 Ly-32 Ly32 Lyb-2	Mus musculus (Mouse)
P24721	ASGR2_MOUSE	Asgr2 Asgr-2	Mus musculus (Mouse)
P27046	MA2A1_MOUSE	Man2a1 Mana2	Mus musculus (Mouse)
P27548	CD40L_MOUSE	Cd40lg Cd40l Tnfsf5	Mus musculus (Mouse)
P27808	MGAT1_MOUSE	Mgat1 Gnt1	Mus musculus (Mouse)
P27812	KRBBA_MOUSE	Klrb1b Ly55b Nkrp1b	Mus musculus (Mouse)
