Entry	Entry Name	Gene Names	Organism
A0A0B4J1G0	FCG3A_MOUSE	Fcgr4 Fcgr3a	Mus musculus (Mouse)
A0A0U1RPR8	GUC2D_MOUSE	Gucy2d	Mus musculus (Mouse)
A2A863	ITB4_MOUSE	Itgb4	Mus musculus (Mouse)
A2AJX4	MALR1_MOUSE	Malrd1 Diet1 Gm13318	Mus musculus (Mouse)
A2AR95	LRAD3_MOUSE	Ldlrad3	Mus musculus (Mouse)
A2ARA8	ITA8_MOUSE	Itga8	Mus musculus (Mouse)
A2ARV4	LRP2_MOUSE	Lrp2	Mus musculus (Mouse)
A4QPC6	BT2A2_MOUSE	Btn2a2	Mus musculus (Mouse)
A6PWV3	IZUM3_MOUSE	Izumo3	Mus musculus (Mouse)
B0F2B4	NLGN4_MOUSE	Nlgn4l Nl4* Nlgn4 Nlgn4x	Mus musculus (Mouse)
B0V2N1	PTPRS_MOUSE	Ptprs	Mus musculus (Mouse)
B1AUH1	PTPRU_MOUSE	Ptpru Pcp2 Ptpf	Mus musculus (Mouse)
B2RU80	PTPRB_MOUSE	Ptprb	Mus musculus (Mouse)
B2RXS4	PLXB2_MOUSE	Plxnb2	Mus musculus (Mouse)
B5TVM2	ILDR2_MOUSE	Ildr2 D1Ertd471e Ll	Mus musculus (Mouse)
B8JK39	ITA9_MOUSE	Itga9	Mus musculus (Mouse)
B9EKR1	PTPRZ_MOUSE	Ptprz1	Mus musculus (Mouse)
C6KI89	CTSG2_MOUSE	Catsperg2 Catsperg	Mus musculus (Mouse)
D7PDD4	G6B_MOUSE	Mpig6b AU023871 G6b G6b-B	Mus musculus (Mouse)
E9PUN2	NRX2B_MOUSE	Nrxn2	Mus musculus (Mouse)
E9PVD3	PCD16_MOUSE	Dchs1	Mus musculus (Mouse)
E9PZ19	TUTLB_MOUSE	Igsf9b Kiaa1030	Mus musculus (Mouse)
E9Q0N2	PTPRH_MOUSE	Ptprh SAP-1	Mus musculus (Mouse)
E9Q612	PTPRO_MOUSE	Ptpro GLEPP1 Ptpn15 PTPU2	Mus musculus (Mouse)
E9Q7X6	HEG1_MOUSE	Heg1	Mus musculus (Mouse)
E9Q7X7	NRX2A_MOUSE	Nrxn2	Mus musculus (Mouse)
E9Q8Q8	SACA6_MOUSE	Spaca6	Mus musculus (Mouse)
E9Q9F6	CTSRD_MOUSE	Catsperd Tmem146	Mus musculus (Mouse)
G3XA59	LRC32_MOUSE	Lrrc32	Mus musculus (Mouse)
J3KML8	GFY_MOUSE	Gfy Gm581 Goofy	Mus musculus (Mouse)
O08532	CA2D1_MOUSE	Cacna2d1 Cacna2	Mus musculus (Mouse)
