Entry	Entry Name	Gene Names	Organism
A6NGU5	GGT3_HUMAN	GGT3P GGT3	Homo sapiens (Human)
B2RUZ4	SMIM1_HUMAN	SMIM1	Homo sapiens (Human)
D3W0D1	KLRF2_HUMAN	KLRF2	Homo sapiens (Human)
O00461	GOLI4_HUMAN	GOLIM4 GIMPC GOLPH4 GPP130	Homo sapiens (Human)
O00468	AGRIN_HUMAN	AGRN AGRIN	Homo sapiens (Human)
O00587	MFNG_HUMAN	MFNG	Homo sapiens (Human)
O14638	ENPP3_HUMAN	ENPP3 PDNP3	Homo sapiens (Human)
O14788	TNF11_HUMAN	TNFSF11 OPGL RANKL TRANCE	Homo sapiens (Human)
O15162	PLS1_HUMAN	PLSCR1	Homo sapiens (Human)
O15393	TMPS2_HUMAN	TMPRSS2 PRSS10	Homo sapiens (Human)
O15466	SIA8E_HUMAN	ST8SIA5 SIAT8E	Homo sapiens (Human)
O43173	SIA8C_HUMAN	ST8SIA3 SIAT8C	Homo sapiens (Human)
O43286	B4GT5_HUMAN	B4GALT5	Homo sapiens (Human)
O43451	MGA_HUMAN	MGAM MGA MGAML	Homo sapiens (Human)
O43505	B4GA1_HUMAN	B4GAT1 B3GNT1 B3GNT6	Homo sapiens (Human)
O43508	TNF12_HUMAN	TNFSF12 APO3L DR3LG UNQ181/PRO207	Homo sapiens (Human)
O43529	CHSTA_HUMAN	CHST10	Homo sapiens (Human)
O43557	TNF14_HUMAN	TNFSF14 HVEML LIGHT UNQ391/PRO726	Homo sapiens (Human)
O43825	B3GT2_HUMAN	B3GALT2	Homo sapiens (Human)
O43889	CREB3_HUMAN	CREB3 LZIP	Homo sapiens (Human)
O43909	EXTL3_HUMAN	EXTL3 EXTL1L EXTR1 KIAA0519	Homo sapiens (Human)
O43916	CHST1_HUMAN	CHST1	Homo sapiens (Human)
O60235	TM11D_HUMAN	TMPRSS11D HAT	Homo sapiens (Human)
O60243	H6ST1_HUMAN	HS6ST1 HS6ST	Homo sapiens (Human)
O60476	MA1A2_HUMAN	MAN1A2 MAN1B	Homo sapiens (Human)
O60507	TPST1_HUMAN	TPST1	Homo sapiens (Human)
O60512	B4GT3_HUMAN	B4GALT3	Homo sapiens (Human)
O60513	B4GT4_HUMAN	B4GALT4 UNQ552/PRO1109	Homo sapiens (Human)
O60704	TPST2_HUMAN	TPST2	Homo sapiens (Human)
O60909	B4GT2_HUMAN	B4GALT2	Homo sapiens (Human)
O75063	XYLK_HUMAN	FAM20B KIAA0475	Homo sapiens (Human)
O75072	FKTN_HUMAN	FKTN FCMD	Homo sapiens (Human)
O75106	AOC2_HUMAN	AOC2	Homo sapiens (Human)
O75354	ENTP6_HUMAN	ENTPD6 CD39L2 IL6ST2	Homo sapiens (Human)
O75477	ERLN1_HUMAN	ERLIN1 C10orf69 KE04 KEO4 SPFH1	Homo sapiens (Human)
O75503	CLN5_HUMAN	CLN5 BMPS	Homo sapiens (Human)
O75752	B3GL1_HUMAN	B3GALNT1 B3GALT3 UNQ531/PRO1074	Homo sapiens (Human)
O75900	MMP23_HUMAN	MMP23B MMP21 MMP22	Homo sapiens (Human)
O75923	DYSF_HUMAN	DYSF FER1L1	Homo sapiens (Human)
O94766	B3GA3_HUMAN	B3GAT3	Homo sapiens (Human)
O94901	SUN1_HUMAN	SUN1 KIAA0810 UNC84A	Homo sapiens (Human)
O94905	ERLN2_HUMAN	ERLIN2 C8orf2 SPFH2 UNQ2441/PRO5003/PRO9924	Homo sapiens (Human)
O94923	GLCE_HUMAN	GLCE KIAA0836	Homo sapiens (Human)
O95150	TNF15_HUMAN	TNFSF15 TL1 VEGI	Homo sapiens (Human)
O95395	GCNT3_HUMAN	GCNT3	Homo sapiens (Human)
O95461	LARG1_HUMAN	LARGE1 KIAA0609 LARGE	Homo sapiens (Human)
O95672	ECEL1_HUMAN	ECEL1 XCE UNQ2431/PRO4991	Homo sapiens (Human)
O95803	NDST3_HUMAN	NDST3 HSST3 UNQ2544/PRO4998	Homo sapiens (Human)
O96024	B3GT4_HUMAN	B3GALT4 GALT4	Homo sapiens (Human)
P01375	TNFA_HUMAN	TNF TNFA TNFSF2	Homo sapiens (Human)
P02786	TFR1_HUMAN	TFRC	Homo sapiens (Human)
P04233	HG2A_HUMAN	CD74 DHLAG	Homo sapiens (Human)
P05026	AT1B1_HUMAN	ATP1B1 ATP1B	Homo sapiens (Human)
P05981	HEPS_HUMAN	HPN TMPRSS1	Homo sapiens (Human)
P06734	FCER2_HUMAN	FCER2 CD23A CLEC4J FCE2 IGEBF	Homo sapiens (Human)
P07306	ASGR1_HUMAN	ASGR1 CLEC4H1	Homo sapiens (Human)
P07307	ASGR2_HUMAN	ASGR2 CLEC4H2	Homo sapiens (Human)
P08195	4F2_HUMAN	SLC3A2 MDU1	Homo sapiens (Human)
P08473	NEP_HUMAN	MME EPN	Homo sapiens (Human)
P08910	ABHD2_HUMAN	ABHD2 LABH2	Homo sapiens (Human)
P09172	DOPO_HUMAN	DBH	Homo sapiens (Human)
P0DPD6	ECE2_HUMAN	ECE2 KIAA0604 UNQ403/PRO740	Homo sapiens (Human)
P14410	SUIS_HUMAN	SI	Homo sapiens (Human)
P14415	AT1B2_HUMAN	ATP1B2	Homo sapiens (Human)
P15144	AMPN_HUMAN	ANPEP APN CD13 PEPN	Homo sapiens (Human)
P15291	B4GT1_HUMAN	B4GALT1 GGTB2	Homo sapiens (Human)
P15907	SIAT1_HUMAN	ST6GAL1 SIAT1	Homo sapiens (Human)
P16442	BGAT_HUMAN	ABO	Homo sapiens (Human)
P17861	XBP1_HUMAN	XBP1 TREB5 XBP2	Homo sapiens (Human)
P18850	ATF6A_HUMAN	ATF6	Homo sapiens (Human)
P19440	GGT1_HUMAN	GGT1 GGT	Homo sapiens (Human)
P19526	FUT1_HUMAN	FUT1 H HSC	Homo sapiens (Human)
P21217	FUT3_HUMAN	FUT3 FT3B LE	Homo sapiens (Human)
P21757	MSRE_HUMAN	MSR1 SCARA1	Homo sapiens (Human)
P21854	CD72_HUMAN	CD72	Homo sapiens (Human)
P21964	COMT_HUMAN	COMT	Homo sapiens (Human)
P22083	FUT4_HUMAN	FUT4 ELFT FCT3A	Homo sapiens (Human)
P22413	ENPP1_HUMAN	ENPP1 M6S1 NPPS PC1 PDNP1	Homo sapiens (Human)
P22760	AAAD_HUMAN	AADAC DAC	Homo sapiens (Human)
P23276	KELL_HUMAN	KEL	Homo sapiens (Human)
P23510	TNFL4_HUMAN	TNFSF4 TXGP1	Homo sapiens (Human)
